"","CCL2","SPP1","CD163","LTF","MMP12","TREM2","PPARG","KRT5","SCGB1A1","TEKT1","DNAI1","FCN1","LPL"
"GSM434051",6.64160134042799,2.24091373018523,7.8461286462398,8.05912598483178,5.86479571417946,6.68737066303115,5.64098693758737,6.89426847082585,10.0464169116779,8.04677563434962,7.30365825343395,5.55510469460161,8.07035003813142
"GSM434052",6.24956027751956,2.81732730408177,7.67114087211093,7.42022499596004,5.6345574433594,5.36293033950983,5.7292204519522,5.77178062142828,10.0464169116779,7.58715375910134,7.36350092899306,6.59044890868452,7.29443765359738
"GSM458579",4.54021224799053,3.02472535779512,7.90594218933997,8.01369069733615,5.19563873532366,4.97902251001759,7.13470128013395,6.73790069739611,10.0464169116779,7.85582142621981,7.14491785271252,6.18426813007734,8.39103026727779
"GSM458580",6.53167677477678,2.55418734140783,8.07807694105328,7.71323901222096,5.50101207421465,5.46329517319515,5.96145343466177,6.51965502379872,10.0464169116779,7.95436736778098,7.41643545273036,3.5455727873414,7.05150769179976
"GSM458581",5.03349855065694,5.15817224771053,7.24464615864779,7.69745120312992,4.64005155127499,4.8745333278186,6.50842168668408,7.33126638802775,9.93739999075407,7.84210991983468,7.39172449108428,6.38581230618991,8.03090928281798
"GSM458582",4.25456023949412,4.46507333302071,6.98951059945954,6.25351313452091,4.46454565433253,6.67326343415008,5.09234800253995,7.61525186923026,9.98663623842202,7.88153170943577,6.70255633980905,4.47370208538856,6.66831207982855
"GSM469989",6.55345713338448,3.63404180199277,7.17624523903615,7.01177749807561,6.18332014589109,5.2627491046408,5.80791190481347,7.58712225522486,9.93739999075407,7.85295200319771,7.42832694377515,4.05043975292988,5.09754338131521
"GSM469990",6.98234994220587,2.51640148374659,9.54554354100969,7.74745533869113,5.79695837105041,7.31228873585741,7.40838125305897,6.22162464037607,9.88643903170642,7.77232939713762,7.50327189316235,4.42199620319997,8.27972201845646
"GSM469991",6.72380635721151,4.85335767390571,8.94459066207492,7.3590200953861,5.90393142976822,5.26002772525026,7.23437896246151,6.59914067157833,9.98663623842202,8.22395500467134,7.44192640890257,6.35742196333471,8.78753105673011
"GSM469992",7.30331385486755,5.68444527103233,8.90917019392709,6.4950053624825,6.71807252174126,6.07501477403388,6.7502953749173,7.34622658523016,9.88643903170642,7.99158016296455,7.74032990742682,5.70302920821099,8.18050429103493
