"","GSE_ID","title","phenotype","tissuetype"
"GSM252805...426","GSE18385","large airways, non-smoker 035","Healthy Non-Smoker","large_airways"
"GSM252806...427","GSE18385","large airways, non-smoker 042","Healthy Non-Smoker","large_airways"
"GSM252807...428","GSE18385","large airways, non-smoker 044","Healthy Non-Smoker","large_airways"
"GSM252808","GSE18385","large airways, smoker 002","Smoker","large_airways"
"GSM252809","GSE18385","large airways, smoker 003","Smoker","large_airways"
"GSM252810","GSE18385","large airways, smoker 023","Smoker","large_airways"
"GSM252813...432","GSE18385","large airways, smoker 057","Smoker","large_airways"
"GSM252814...433","GSE18385","large airways, smoker 058","Smoker","large_airways"
"GSM252815...434","GSE18385","large airways, smoker 063","Smoker","large_airways"
"GSM252816...435","GSE18385","large airways, smoker 069","Smoker","large_airways"
"GSM252817...436","GSE18385","large airways, smoker 074","Smoker","large_airways"
"GSM252818...437","GSE18385","large airways, smoker 093","Smoker","large_airways"
"GSM252819...438","GSE18385","large airways, smoker 094","Smoker","large_airways"
"GSM252820...439","GSE18385","large airways, smoker 095","Smoker","large_airways"
"GSM252822...440","GSE18385","large airways, smoker 098","Smoker","large_airways"
"GSM252823...441","GSE18385","large airways, smoker 102","Smoker","large_airways"
"GSM252825...442","GSE18385","large airways, smoker 112","Smoker","large_airways"
"GSM252826...443","GSE18385","large airways, smoker 114","Smoker","large_airways"
"GSM252827...444","GSE18385","large airways, smoker 119","Smoker","large_airways"
"GSM256181...462","GSE18385","large airways, non-smoker 036","Healthy Non-Smoker","large_airways"
"GSM256182...463","GSE18385","large airways, non-smoker 038","Healthy Non-Smoker","large_airways"
"GSM256183...464","GSE18385","large airways, non-smoker 040","Healthy Non-Smoker","large_airways"
"GSM256184...465","GSE18385","large airways, non-smoker 041","Healthy Non-Smoker","large_airways"
"GSM256185...466","GSE18385","large airways, non-smoker 050","Healthy Non-Smoker","large_airways"
"GSM256186...467","GSE18385","large airways, non-smoker 047","Healthy Non-Smoker","large_airways"
"GSM256187...468","GSE18385","large airways, non-smoker 045","Healthy Non-Smoker","large_airways"
"GSM256188...469","GSE18385","large airways, non-smoker 006","Healthy Non-Smoker","large_airways"
"GSM256189...470","GSE18385","large airways, non-smoker 065","Healthy Non-Smoker","large_airways"
"GSM256190","GSE18385","large airways, non-smoker 066","Healthy Non-Smoker","large_airways"
"GSM256191...472","GSE18385","large airways, non-smoker 059","Healthy Non-Smoker","large_airways"
"GSM256192...473","GSE18385","large airways, non-smoker 072","Healthy Non-Smoker","large_airways"
"GSM256193...474","GSE18385","large airways, non-smoker 078","Healthy Non-Smoker","large_airways"
"GSM256194...475","GSE18385","large airways, non-smoker 071","Healthy Non-Smoker","large_airways"
"GSM256195...476","GSE18385","large airways, smoker 087","Smoker","large_airways"
"GSM256196...477","GSE18385","large airways, smoker 122","Smoker","large_airways"
"GSM256197...478","GSE18385","large airways, smoker 120","Smoker","large_airways"
"GSM256198...479","GSE18385","large airways, smoker 125","Smoker","large_airways"
"GSM256199...480","GSE18385","large airways, smoker 129","Smoker","large_airways"
"GSM256201...481","GSE18385","large airways, smoker 130","Smoker","large_airways"
"GSM256202...482","GSE18385","large airways, smoker 134","Smoker","large_airways"
"GSM256204...483","GSE18385","large airways, smoker 136","Smoker","large_airways"
"GSM256205...484","GSE18385","large airways, smoker 141","Smoker","large_airways"
"GSM256206...485","GSE18385","large airways, smoker 040","Smoker","large_airways"
"GSM256208...486","GSE18385","large airways, smoker 159","Smoker","large_airways"
"GSM256209...487","GSE18385","large airways, smoker 169","Smoker","large_airways"
"GSM256210...488","GSE18385","large airways, smoker 155","Smoker","large_airways"
"GSM256211...489","GSE18385","large airways, smoker 167","Smoker","large_airways"
"GSM256212...490","GSE18385","large airways, smoker 161","Smoker","large_airways"
