"","subgraph.centrality.scores","Topological.Coefficient","Average.Distance","Barycenter.Centrality","BottleNeck.Centrality","Centroid.value","Closeness.Centrality..Freeman.","Decay.Centrality","Degree.Centrality","Diffusion.Degree","DMNC...Density.of.Maximum.Neighborhood.Component","Eccentricity.Centrality","eigenvector.centralities","K.core.Decomposition","Geodesic.K.Path.Centrality","Kleinberg.s.authority.centrality.scores","Kleinberg.s.hub.centrality.scores","Lin.Centrality","Lobby.Index..Centrality.","Markov.Centrality","Radiality.Centrality","Shortest.Paths.Betweenness.Centrality","Current.Flow.Closeness.Centrality","Closeness.centrality..Latora.","Cross.Clique.Connectivity","Entropy.Centrality","EPC...Edge.Percolated.Component","Laplacian.Centrality","Leverage.Centrality","MNC...Maximum.Neighborhood.Component","Semi.Local.Centrality","Residual.Closeness.Centrality","Stress.Centrality","Load.Centrality","Flow.Betweenness.Centrality","Information.Centrality","Harary.Centrality","Dangalchev.Closeness.Centrality","Group.Centrality","Harmonic.Centrality","Local.Bridging.Centrality","Wiener.Index.Centrality"
"FAM20C",150.890708488826,0.55,3.70229007633588,0.00206185567010309,0,-125,0.00206185567010309,14.90625,2,26,0,7,0.0664645813515962,2,66,0.0664645813515962,0.0664645813515962,34.3113402061856,2,0.00177526970763684,6.31782945736434,1.3991452991453,0.760522408132138,39.802380952381,3,12.0224545108465,572.907692307692,54,-0.575757575757576,1,1189,14.90625,35,39.4166666666667,42,1.04196586593359,0.166666666666667,13.90625,0.580952380952381,39.802380952381,1.66666666666667,485
"FAM216B",485.634032880597,0.328125,4.22137404580153,0.00180831826401447,3,-108,0.00180831826401447,14.8359375,8,92,0.0310341404824074,7,0.00077430541684587,5,45,0.000774305416846112,0.00077430541684604,30.0922242314647,7,0.00273429142908406,5.7906976744186,17.8115198810851,0.947724860444178,40.0642857142857,28,12.0224545108465,715.661538461538,240,-0.0940488476092191,8,2686,14.8359375,87,74.1666666666667,45,1.12431616978083,0.2,13.8359375,0.887165129556434,40.0642857142857,0.1441827563249,553
"FAM81B",242.057378016321,0.4,4.9236641221374,0.00155038759689922,26,-112,0.00155038759689922,12.32421875,6,66,0.0501750035468149,8,0.000324141586809797,4,43,0.000324141586810017,0.000324141586809901,25.8,5,0.00235968368769722,5.07751937984496,9.50578853513636,0.888655519443791,35.3607142857143,16,12.0224545108465,703.592307692308,162,-0.177841837796071,6,1902,12.32421875,0,9,0,0.489585607722897,0.125,11.32421875,0.819047619047619,35.3607142857143,0.211594619177558,645
"FANK1",8.24493506125926,0.590909090909091,4.49618320610687,0.00169779286926995,0,-119,0.00169779286926995,10.1796875,2,15,0,7,0.000149964924659836,2,37,0.000149964924659899,0.000149964924659897,28.2529711375212,2,0.00132121927540855,5.51162790697674,0,0.655320238598376,32.847619047619,4,12.0224545108465,530.976923076923,32,-0.527777777777778,2,355,10.1796875,58,65,73,0.947853861701021,0.142857142857143,9.1796875,0.601190476190476,32.847619047619,1.61538461538462,589
"FCGR2B",7863.80665926067,0.322448979591837,3.70229007633588,0.00206185567010309,10,-94,0.00206185567010309,20.125,10,168,0.0427592417900447,8,0.484893861008124,7,73,0.484893861008124,0.484893861008124,34.3113402061856,8,0.00555665795760613,6.31782945736434,41.8125422552724,1.17060983752335,47.5761904761905,136,12.0224545108465,769.376923076923,426,-0.0902864757703467,10,7697,20.125,4,10,4,0.520963980426032,0.142857142857143,19.125,1.12028844945054,47.5761904761905,0.0791790920109331,485
"FCN1",4738.27169635111,0.259183673469388,3.3587786259542,0.00227272727272727,25,-77,0.00227272727272727,20.875,10,137,0.0427592417900447,7,0.375948048772824,6,75,0.375948048772824,0.375948048772824,37.8204545454545,7,0.00596548839625635,6.66666666666667,187.171153503994,1.19361532849961,49.102380952381,46,12.0224545108465,771.276923076923,364,-0.00987679772908975,10,6050,20.875,3,31,14,1.07882862704136,0.125,19.875,1.14859908609909,49.102380952381,0.0806875508897189,440
"FGFR3",6.61330284749709,1,3.93893129770992,0.00193798449612403,0,-128,0.00193798449612403,12.125,1,11,0,7,0.0112072236074752,1,51,0.0112072236074752,0.0112072236074752,32.25,1,0.000993168002385599,6.07751937984496,0,0.543662793390351,35.902380952381,2,12.0224545108465,382.430769230769,22,-0.818181818181818,1,313,12.125,3,8.5,2,0.766417930675799,0.142857142857143,11.125,0.590909090909091,35.902380952381,10,516
"GPNMB",2177.87637136171,0.355263157894737,3.51145038167939,0.00217391304347826,1,-100,0.00217391304347826,18.28125,6,88,0,7,0.254912087651006,5,70,0.254912087651006,0.254912087651006,36.1760869565217,6,0.00409222511816547,6.51162790697674,75.221626984127,1.07346940502345,44.9690476190476,25,12.0224545108465,758.492307692308,206,-0.276673326673327,5,4019,18.28125,22,37.1666666666667,44,0.955071564788709,0.142857142857143,17.28125,0.792752100840336,44.9690476190476,0.198347107438017,460
"GPR183",1674.64157998103,0.693693693693694,3.84732824427481,0.00198412698412698,4,-113,0.00198412698412698,16.875,3,80,0,8,0.223844100690259,3,73,0.223844100690259,0.223844100690259,33.0178571428571,3,0.00270997027095842,6.17054263565892,0,0.923906551297235,42.0761904761905,8,12.0224545108465,670.592307692308,166,-0.787095088819227,3,3769,16.875,17,23.6666666666667,13,0.8955443219201,0.125,15.875,0.364749647007712,42.0761904761905,2.79141104294479,504
"GPR34",817.754048519339,0.681818181818182,4.12213740458015,0.00185185185185185,0,-122,0.00185185185185185,13.875,3,48,0,8,0.155908963495797,3,58,0.155908963495797,0.155908963495797,30.8166666666667,3,0.00258327334448667,5.89147286821705,0,0.90532088271548,38.0261904761905,8,12.0224545108465,678.184615384615,102,-0.641113653699466,3,2232,13.875,0,14,4,0.660400240447977,0.142857142857143,12.875,0.456442577030812,38.0261904761905,1.49068322981366,540
