"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","threshold"
"C1orf87",-1.21397937670844,7.00949636448776,-3.20210239980426,0.00153835227143136,0.0108269251275695,-1.48889479724653,"C1orf87","Downregulated"
"ANKFN1 /// BC037494",-1.06507530710881,6.20344696091099,-3.19960484928304,0.00155121643496373,0.0108881413807168,-1.49638954627321,"ANKFN1 /// BC037494","Downregulated"
"ALOX15",-1.21716354069771,6.97308325160798,-3.1959133175884,0.00157041303668842,0.0109868188685153,-1.5074573850599,"ALOX15","Downregulated"
"MORN5",-1.23424620360234,8.02819510696368,-3.15199931418153,0.00181628412631947,0.0121228203561749,-1.63821598519312,"MORN5","Downregulated"
"RTDR1",-1.10990989726157,6.70701801272182,-3.13515985964552,0.00191966318006047,0.0126232563736631,-1.68791459975741,"RTDR1","Downregulated"
"MAP3K19",-1.20351539193471,7.01139649268702,-3.12662237204186,0.00197412735764755,0.0128657866903985,-1.7130175504863,"MAP3K19","Downregulated"
"WDR38",-1.17266157564439,7.76898247979231,-3.10991410651559,0.00208486683556342,0.0133329066710439,-1.76196218805511,"WDR38","Downregulated"
"ARMC3",-1.24380435835559,7.42091944357657,-3.09329433955816,0.00220068094407009,0.0138475699533099,-1.8104069961599,"ARMC3","Downregulated"
"CHST9",-1.35550829748363,7.84147362080105,-3.06740028923977,0.002392990771992,0.0147113266983857,-1.88540647436747,"CHST9","Downregulated"
"MUC16",-1.24454173777343,7.32373924744109,-3.06573137879766,0.00240590127856815,0.0147656022933374,-1.8902202721843,"MUC16","Downregulated"
"DNAI1",-1.15826287579581,7.32453902539275,-3.06502222401573,0.00241140661270504,0.0147897509615216,-1.89226502018668,"DNAI1","Downregulated"
"CCDC113",-1.21463712302685,7.93888295371481,-3.06273836578456,0.00242921566258195,0.0148602292846788,-1.89884722489222,"CCDC113","Downregulated"
"PACRG",-1.12987327928896,7.06034878042197,-3.05457604373483,0.00249385803889509,0.0151180502404256,-1.92233431487178,"PACRG","Downregulated"
"CATSPERD",-1.376608427786,7.17726543525617,-3.05332466545675,0.00250390726288623,0.0151438423065948,-1.92593002031896,"CATSPERD","Downregulated"
"CCDC114",-1.00272321095786,7.35734387848954,-3.05041347387282,0.00252743000477985,0.0152586450570911,-1.9342897410472,"CCDC114","Downregulated"
"ROPN1L",-1.22085594008683,7.955995594734,-2.9971779047384,0.00299504782977291,0.0171778883209189,-2.0858543541646,"ROPN1L","Downregulated"
"DNAH5",-1.00397822639023,8.50775722967927,-2.99571616592704,0.00300894164525276,0.0172197850214088,-2.08998103286383,"DNAH5","Downregulated"
"ZBBX",-1.41002468196776,7.40081279603621,-2.9863283155179,0.00309959190266222,0.017576061027608,-2.11643953354266,"ZBBX","Downregulated"
"CXorf30",-1.08658949609241,6.4232362837468,-2.97049223020093,0.00325820122954161,0.0182297055268851,-2.16089648347876,"CXorf30","Downregulated"
"ENKUR",-1.04235580990515,7.0852755033989,-2.93932353190795,0.00359230063683179,0.0194195594757344,-2.24775386081778,"ENKUR","Downregulated"
"PROM1",-1.3926381866359,8.18035619304069,-2.93284816395129,0.00366552772778557,0.0197022115368474,-2.26569154123648,"PROM1","Downregulated"
"DTHD1",-1.01446472807698,5.8942033359536,-2.92063008698136,0.00380742665581035,0.0202657801247602,-2.2994368297093,"DTHD1","Downregulated"
"CXCL6",-1.04793865004252,7.30045256504098,-2.9176720213047,0.00384252780799925,0.0203880208824612,-2.30758699098634,"CXCL6","Downregulated"
"ERICH3",-1.42272187514196,7.50717561330325,-2.90868959902793,0.00395093577052995,0.0207850503821595,-2.3322884136566,"ERICH3","Downregulated"
"TOX3",-1.16153249557755,6.68617522838043,-2.86033064876688,0.00458408268726687,0.0231378130659236,-2.46405099533099,"TOX3","Downregulated"
"PLEKHS1",-1.07372538684219,6.43331472755848,-2.8536562099964,0.00467838285756719,0.0234846495533181,-2.482074417534,"PLEKHS1","Downregulated"
"C1orf110",-1.10786166755736,6.66276647271302,-2.83665880716894,0.00492656278727662,0.0242726609383187,-2.52779556000113,"C1orf110","Downregulated"
"CASC1",-1.10680786866123,6.93633047973932,-2.79231276475522,0.00563145764871756,0.0265233310683792,-2.64587585715535,"CASC1","Downregulated"
"LOC101928817",-1.07834802203769,8.21979748399741,-2.79009678593478,0.0056689720295594,0.0266573152953352,-2.65173055220535,"LOC101928817","Downregulated"
"ADH1C",-1.01951988697533,7.64790577458846,-2.77525679679918,0.00592609787372796,0.0275306632605086,-2.69082583524203,"ADH1C","Downregulated"
"TEKT1",-1.0022909250465,7.96210006837596,-2.75705087836713,0.00625596281976088,0.0285278211484288,-2.73852089593876,"TEKT1","Downregulated"
"C4orf22",-1.15779338811684,6.88126326316747,-2.72486105578924,0.00688012167589073,0.0305974450621702,-2.82212774076197,"C4orf22","Downregulated"
"SPAG17",-1.07925174425932,7.2044158905154,-2.71986750340814,0.00698183621093645,0.0308451858597739,-2.83501471637206,"SPAG17","Downregulated"
"CAPSL",-1.20099102021817,8.23824549624888,-2.71736210970034,0.0070333791010311,0.0309566073793699,-2.84147205694557,"CAPSL","Downregulated"
"DAW1",-1.05738029608179,7.10587743273165,-2.70830465670785,0.00722259584618821,0.0315578054106266,-2.86476974802915,"DAW1","Downregulated"
"MDH1B",-1.04234219010574,7.48650183575033,-2.70265779702377,0.00734287637715931,0.031937312231097,-2.87925757703249,"MDH1B","Downregulated"
