"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
-1.08584603046526,5.41443481829373,-6.06287098105247,1.54445805349964e-08,8.90144703328094e-07,9.18411298939345,"LOC101929552","Downregulated"
-1.11647249784635,6.18623182626743,-6.05453510451101,1.60717268046103e-08,9.23962766372582e-07,9.14563365596626,"ANTXR2","Downregulated"
-1.21780229101126,7.6687479843467,-6.0406587881134,1.71716698416001e-08,9.77375566282716e-07,9.08164129338454,"HES6","Downregulated"
-1.16241744662393,6.73330135612346,-6.01290175750081,1.95985616342883e-08,1.09910462929939e-06,8.95387089192843,"POU5F1","Downregulated"
-1.05306475777798,6.8898686204715,-5.93421733826484,2.84615080310235e-08,1.53975088480356e-06,8.59339393513385,"ARRB1","Downregulated"
-1.62771993384463,4.89519351411408,-5.91206506322819,3.15996923109559e-08,1.66982115419626e-06,8.49237264205571,"APELA","Downregulated"
-1.1676725969168,4.72254466889853,-5.83636505853279,4.51087609552809e-08,2.31940125711861e-06,8.14872585395213,"RP13-20L14.1","Downregulated"
-1.26494634455912,4.99891808757183,-5.82722405504391,4.70823192249813e-08,2.40466639773839e-06,8.10739545325767,"LCAT","Downregulated"
-1.29060454640143,7.02505532614882,-5.82458117375484,4.76685433778356e-08,2.42835275491039e-06,8.09545257479724,"NOC4L","Downregulated"
-1.01968077296171,7.06223672106257,-5.82417912986543,4.77583470875257e-08,2.42835275491039e-06,8.09363604897093,"HDAC7","Downregulated"
-1.31392517013897,7.96829997064624,-5.81889692728823,4.89537520618957e-08,2.48361596658146e-06,8.06977634901109,"CX3CL1","Downregulated"
-1.24176558700654,6.33568252977544,-5.65991699958678,1.0245998761897e-07,4.64235044893002e-06,7.35740259469924,"PDLIM3","Downregulated"
-1.16435117309097,5.24505402958204,-5.61242271658645,1.27488708743428e-07,5.60974835530459e-06,7.14678389371597,"LEPREL2","Downregulated"
-1.00941557539766,5.07849681110782,-5.60647407456105,1.31017713951779e-07,5.71012631034408e-06,7.12047668374675,"EHMT1-IT1","Downregulated"
-1.05742234576428,5.03880738248784,-5.55069751010905,1.69117535388371e-07,7.12629526191773e-06,6.87460639555858,"BCL2","Downregulated"
-1.28388069227294,6.60114694051173,-5.49277175942493,2.20131859477782e-07,8.82740732978872e-06,6.6208006602802,"PF4","Downregulated"
-1.07451007601906,5.24832707857747,-5.46475755386862,2.4993066068977e-07,9.7754930722096e-06,6.49862412051242,"ZNF550","Downregulated"
-1.14682063603374,4.42825884582185,-5.44642174479859,2.71533628663599e-07,1.04948664821821e-05,6.41886033956201,"OVOL1","Downregulated"
-1.10366607984328,6.16009288598933,-5.4252875762672,2.98703127987125e-07,1.1410060553378e-05,6.32712369177155,"ANHX","Downregulated"
-1.07127599066558,4.9280420699929,-5.41042609167563,3.193817865996e-07,1.2119029285548e-05,6.26274393186689,"ZBTB12","Downregulated"
-1.0167309269982,5.30687409546132,-5.40463604081744,3.27811384291813e-07,1.24182984834122e-05,6.23769048824586,"KIF12","Downregulated"
-1.08247703973618,4.68379157691202,-5.4032005876095,3.29934627949026e-07,1.24780730943829e-05,6.23148182747669,"MFI2-AS1","Downregulated"
-1.15916524682086,6.92038929069902,-5.40008251683079,3.34593110254141e-07,1.26125617063015e-05,6.21799891529014,"EXOSC3","Downregulated"
-1.08839395644956,7.46614256467933,-5.39425942504631,3.43465669964698e-07,1.28472453972494e-05,6.19283183534359,"GAMT","Downregulated"
-1.05704335362172,4.98912951133008,-5.38491802661037,3.58181342660937e-07,1.32828967608183e-05,6.15249335076532,"TMEM221","Downregulated"
-1.00558416452519,4.86351638798796,-5.35754658664448,4.04936800295928e-07,1.46836116126325e-05,6.03454246945443,"COL6A1","Downregulated"
-1.04653597612589,5.04221565589876,-5.34950829666355,4.19765394332229e-07,1.51254362011271e-05,5.99997322244081,"NKX2-1-AS1","Downregulated"
-1.05628622818611,4.43054232422126,-5.33616011473969,4.45568769453619e-07,1.59297797091692e-05,5.94263881021852,"SNORA78","Downregulated"
-1.14230671595609,4.92474071975614,-5.31479735086599,4.90120656205245e-07,1.7275951787931e-05,5.85106296128464,"FRMD1","Downregulated"
-1.01924121914595,6.05423128511091,-5.26447121270132,6.12962496383384e-07,2.08088944803386e-05,5.63622953452474,"PTPN21","Downregulated"
-1.18746234273083,7.7823693517024,-5.261796279709,6.20271645731562e-07,2.1025830408865e-05,5.62484630580593,"CTNNB1","Downregulated"
-1.11226892714051,9.22074729813265,-5.23884665213514,6.86575411955703e-07,2.30007789179479e-05,5.52733232025117,"WIF1","Downregulated"
-1.01019081283818,4.79770994227059,-5.17307084265989,9.17252197134363e-07,2.93533531785054e-05,5.24933425860899,"CD74","Downregulated"
-1.00393478966507,6.40311052098986,-5.15865652563309,9.77090441942561e-07,3.07944991764294e-05,5.18870986724988,"CASP2","Downregulated"
-1.03620257347557,4.62684555067477,-5.10038450838432,1.26019007370422e-06,3.80903686610651e-05,4.94472780804087,"LOC100288490","Downregulated"
-1.17626718162525,6.07672847509365,-5.08881893701331,1.3251982031182e-06,3.9763511985751e-05,4.89651478820636,"XXYLT1","Downregulated"
-1.14250577088754,4.29148431209621,-5.0547338307567,1.53635282442269e-06,4.48953939188588e-05,4.75483622272662,"LOC100130744","Downregulated"
-1.0108988475302,6.004588307863,-5.04379462136514,1.61081139362835e-06,4.66543993640635e-05,4.70949684983143,"DRD1","Downregulated"
-1.01434878526352,4.96680672035581,-5.01204465081872,1.84735795681738e-06,5.18642913005381e-05,4.5782657094601,"CA5BP1","Downregulated"
-1.13883143575171,5.66015547722842,-4.97408983177847,2.17467502881017e-06,5.99502883544643e-05,4.4220993575804,"INMT","Downregulated"
-1.01770713028291,5.07710076131715,-4.89485537618992,3.04964332458207e-06,7.93844014900595e-05,4.09861277216358,"TSSK3","Downregulated"
-1.33324488218133,5.4747818078248,-4.88682988335678,3.1553288577275e-06,8.17633970483159e-05,4.066039948385,"ELF5","Downregulated"
-1.02192122179075,4.23231008961783,-4.81963885108992,4.19120766949556e-06,0.000103200515127294,3.79473989460116,"MGC50722","Downregulated"
-1.0045283876147,4.93192786895891,-4.77248336993608,5.10796005606209e-06,0.00012111423216866,3.60585305580654,"PRR34","Downregulated"
-1.02508809040801,5.17683508474216,-4.70627596813557,6.72958562804174e-06,0.000152153803117809,3.34279004932219,"FAM229A","Downregulated"
-1.17137008735363,6.5003579759313,-4.70019201893039,6.9014408660073e-06,0.000155885358790832,3.31874307081591,"MIR6778","Downregulated"
-1.12401180530676,6.23926329583771,-4.66616671698742,7.94374331892447e-06,0.000173898252278535,3.18465279819241,"THRAP3","Downregulated"
-1.0077735579943,4.91683756995554,-4.50140394925278,1.55552656335986e-05,0.000301882979611848,2.54498429433403,"LINC00277","Downregulated"
-1.10218854341046,6.52838467885394,-4.41905059652407,2.16398246871504e-05,0.000396215990010685,2.2313785393492,"FAM65A","Downregulated"
-1.01924462183147,5.4785068836565,-4.29899993647725,3.47696295904911e-05,0.000588434833328423,1.78172408225766,"GMNC","Downregulated"
-1.15938729370164,6.85669350351231,-4.24695107728694,4.25933939300666e-05,0.000689593979192473,1.58958999783936,"PTGER4","Downregulated"
-1.1702935586623,6.18164991496615,-4.22247458511086,4.68326778134297e-05,0.000742090374687732,1.4998342165343,"GSTT2","Downregulated"
-1.04016689713876,4.87037211865199,-4.17699237067534,5.58088866456113e-05,0.000851134629840039,1.33407305573588,"LOC728743","Downregulated"
-1.08438753879055,5.52616110561135,-4.09900531292495,7.51644448798103e-05,0.00107422714759209,1.05297436422433,"RP11-355F16.1","Downregulated"
-1.22576683953385,14.5808477929663,-4.04984555831237,9.05085928044192e-05,0.00125131547550327,0.877835325005811,"HBA1","Downregulated"
-1.00879027797629,5.06441319224966,-4.0369756956559,9.49956016055078e-05,0.00130389583703397,0.832249253511852,"DNM1","Downregulated"
-1.55446437294656,5.62446550027254,-3.91073112519608,0.00015186033438261,0.00186612046778115,0.390977810098873,"ALAS2","Downregulated"
-1.00794989571901,5.539085641705,-3.84948037374598,0.000189982575400141,0.00221672172755259,0.180789940711406,"VGLL3","Downregulated"
-1.49026833331426,6.90553645176134,-3.71202703109925,0.000311291899257028,0.00326727979215599,-0.281412104714994,"HBM","Downregulated"
-1.0395377866223,5.4954991015741,-3.62967281261328,0.000415986538500008,0.00407108126065812,-0.551943011426871,"EPB42","Downregulated"
-1.15433675109428,4.8910624736572,-3.26345343457298,0.00142851717294122,0.0106330193344398,-1.69489016552023,"TRIM58","Downregulated"
-1.00942134209159,6.48383642978133,-2.71102990331121,0.0076763801374764,0.0371731754339889,-3.22296764913104,"PPBP","Downregulated"
